"county","state","pop.density","pop","pop.change","age6574","age75","crime","college","income","farm","democrat","republican","Perot","white","black","turnout"
"Autauga","AL",61,34222,11.8999996185302,5.69999980926513,4.09999990463256,4996,14.5,32240,1.79999995231628,30.8999996185302,55.9000015258789,12.3000001907348,79.317398071289,20.0017528533935,45.5408782958984
"Baldwin","AL",67,98280,35.4000015258789,9.19999980926513,6,3329,16.7999992370605,30199,1.70000004768371,26.2000007629394,56.5,16.5,86.0449752807617,12.8612127304077,47.289379119873
"Barbour","AL",29,25417,2,8.19999980926513,6.40000009536743,3192,11.8000001907348,23838,2.40000009536743,46.4000015258789,42.9000015258789,9.80000019073486,55.5455017089843,44.041389465332,41.0394630432128
"Bibb","AL",28,16576,9.19999980926513,6.69999980926513,6,0,4.69999980926513,23714,0.899999976158142,43.2000007629394,46.5,10.1999998092651,78.7403488159179,20.9821434020996,40.5405387878418
"Blount","AL",62,39248,10.6000003814697,7.40000009536743,5.59999990463256,2052,7,26323,4.69999980926513,32.9000015258789,53.7999992370605,11.8000001907348,97.8317337036132,1.32745611667633,42.0530967712402
"Bullock","AL",18,11042,3.70000004768371,8.5,7.59999990463256,3630,10,17796,2.59999990463256,67.6999969482421,26,5.5,27.4950199127197,72.3238525390625,43.6152877807617
"Butler","AL",28,21892,0.100000001490116,8.80000019073486,8,3530,8,21499,3.5,47.4000015258789,41.2000007629394,10.1999998092651,59.6062507629394,40.1881980895996,38.7264747619628
"Calhoun","AL",191,116034,-2.79999995231628,7.40000009536743,5,4174,14.1999998092651,28340,0.699999988079071,38.4000015258789,48.2000007629394,11,80.0394744873046,18.5962734222412,36.8857421875
"Chambers","AL",62,36876,-6,9.19999980926513,7.69999980926513,3173,8.89999961853027,26331,1.20000004768371,45.4000015258789,43.4000015258789,10.8999996185302,63.9304695129394,35.8525886535644,35.5000534057617
"Cherokee","AL",36,19543,5.90000009536743,8.89999961853027,5.80000019073486,3223,6.69999980926513,24932,3.90000009536743,53.599998474121,34.9000015258789,10.6999998092651,92.892593383789,6.60594606399536,40.3008766174316
"Chilton","AL",48,32458,8.5,7.80000019073486,6.09999990463256,3367,7.5,26203,3,34.2000007629394,56.2000007629394,9.39999961853027,88.258674621582,11.3192434310913,44.5745277404785
"Choctaw","AL",18,16018,-4.19999980926513,7.5,6.40000009536743,419,8.5,23609,3.40000009536743,52.099998474121,40.599998474121,6.5,55.6436500549316,44.1815452575683,47.1969032287597
"Clarke","AL",22,27240,0.100000001490116,7.09999990463256,6,3828,10.8000001907348,23080,1.70000004768371,42.9000015258789,46.9000015258789,7.40000009536743,57.000732421875,42.676212310791,43.0139503479003
"Clay","AL",22,13252,-2.70000004768371,8.60000038146972,8.30000019073486,298,7.30000019073486,24145,4.19999980926513,36,49.7000007629394,11.3000001907348,83.3383636474609,16.3447017669677,43.4274063110351
"Cleburne","AL",23,12730,3.09999990463256,7.69999980926513,5.69999980926513,1623,6.5,25900,4.69999980926513,40.9000015258789,46.2999992370605,12,94.9253768920898,4.61115455627441,41.1390419006347
"Coffee","AL",61,40240,6.80000019073486,7.59999990463256,5.59999990463256,2582,16.5,27653,3.5,37.2000007629394,48.9000015258789,13,81.2673950195312,17.1893634796142,38.6008949279785
"Colbert","AL",88,51666,-3.79999995231628,9,5.69999980926513,3441,11.5,27862,1.39999997615814,54.4000015258789,36,9.30000019073486,82.8784866333007,16.583438873291,43.4308815002441
"Conecuh","AL",17,14054,-11.1999998092651,9.30000019073486,8,2306,6.40000009536743,21231,2.59999990463256,50,39.099998474121,8.80000019073486,57.3715667724609,42.1588172912597,44.8769035339355
"Coosa","AL",17,11063,-2.59999990463256,8.30000019073486,6.19999980926513,3019,6.30000019073486,23472,4.30000019073486,48.599998474121,41.099998474121,9.89999961853027,65.4614486694336,34.1860237121582,43.3697929382324
"Covington","AL",36,36478,-0.200000002980232,9.5,7.69999980926513,6519,9.10000038146972,23257,4,35.7999992370605,49,13.5,86.4932250976562,13.0955648422241,38.2751235961914
"Crenshaw","AL",22,13635,-4.59999990463256,10,8.30000019073486,2114,8.39999961853027,21368,6.59999990463256,45.4000015258789,44.2000007629394,9.19999980926513,73.6927032470703,25.9919319152832,38.7972145080566
"Cullman","AL",94,67613,13.1999998092651,8.19999980926513,6.19999980926513,2390,7.80000019073486,25856,4.19999980926513,36,49.599998474121,14.1999998092651,98.7147445678711,0.8282430768013,42.9547576904296
